Round 0 Worms: [ petro_qojo-9 (-1, 0), ], Food:  (-4, 8) 
Round 1 Worms: [ petro_qojo-8 (-2, 0), ], Food:  (-4, 8)  (-11, -2) 
Round 2 Worms: [ petro_qojo-7 (-3, 0), ], Food:  (-4, 8)  (-11, -2)  (5, 4) 
Round 3 Worms: [ petro_qojo-6 (-4, 0), ], Food:  (-4, 8)  (-11, -2)  (5, 4)  (2, 10) 
Round 4 Worms: [ petro_qojo-5 (-3, 0), ], Food:  (-4, 8)  (-11, -2)  (5, 4)  (2, 10)  (-1, -3) 
Round 37 Worms: [], Food:  (-3, -6)  (-3, 1)  (-4, -8)  (-3, -5)  (-3, 5)  (0, 0)  (-4, 2)  (2, -1)  (4, -8)  (0, -1) 
Round 38 Worms: [], Food:  (-3, 1)  (-4, -8)  (-3, -5)  (-3, 5)  (0, 0)  (-4, 2)  (2, -1)  (4, -8)  (0, -1)  (-2, 1) 
Round 39 Worms: [], Food:  (-4, -8)  (-3, -5)  (-3, 5)  (0, 0)  (-4, 2)  (2, -1)  (4, -8)  (0, -1)  (-2, 1)  (5, 3) 
Round 40 Worms: [], Food:  (-3, -5)  (-3, 5)  (0, 0)  (-4, 2)  (2, -1)  (4, -8)  (0, -1)  (-2, 1)  (5, 3)  (-1, 9) 
Round 41 Worms: [], Food:  (-3, 5)  (0, 0)  (-4, 2)  (2, -1)  (4, -8)  (0, -1)  (-2, 1)  (5, 3)  (-1, 9)  (-2, -7) 
Round 42 Worms: [], Food:  (0, 0)  (-4, 2)  (2, -1)  (4, -8)  (0, -1)  (-2, 1)  (5, 3)  (-1, 9)  (-2, -7)  (0, 4) 
Round 43 Worms: [], Food:  (-4, 2)  (2, -1)  (4, -8)  (0, -1)  (-2, 1)  (5, 3)  (-1, 9)  (-2, -7)  (0, 4)  (-2, 0) 
Round 44 Worms: [], Food:  (2, -1)  (4, -8)  (0, -1)  (-2, 1)  (5, 3)  (-1, 9)  (-2, -7)  (0, 4)  (-2, 0)  (3, -8) 
Round 45 Worms: [], Food:  (4, -8)  (0, -1)  (-2, 1)  (5, 3)  (-1, 9)  (-2, -7)  (0, 4)  (-2, 0)  (3, -8)  (-1, 4) 
Round 46 Worms: [], Food:  (0, -1)  (-2, 1)  (5, 3)  (-1, 9)  (-2, -7)  (0, 4)  (-2, 0)  (3, -8)  (-1, 4)  (5, 1) 
Round 47 Worms: [], Food:  (-2, 1)  (5, 3)  (-1, 9)  (-2, -7)  (0, 4)  (-2, 0)  (3, -8)  (-1, 4)  (5, 1)  (-4, -6) 
Round 48 Worms: [], Food:  (5, 3)  (-1, 9)  (-2, -7)  (0, 4)  (-2, 0)  (3, -8)  (-1, 4)  (5, 1)  (-4, -6)  (0, 13) 
Round 49 Worms: [], Food:  (-1, 9)  (-2, -7)  (0, 4)  (-2, 0)  (3, -8)  (-1, 4)  (5, 1)  (-4, -6)  (0, 13)  (9, -6) 
Round 50 Worms: [], Food:  (-2, -7)  (0, 4)  (-2, 0)  (3, -8)  (-1, 4)  (5, 1)  (-4, -6)  (0, 13)  (9, -6)  (4, 2) 
Round 51 Worms: [], Food:  (0, 4)  (-2, 0)  (3, -8)  (-1, 4)  (5, 1)  (-4, -6)  (0, 13)  (9, -6)  (4, 2)  (-10, -3) 
Round 52 Worms: [], Food:  (-2, 0)  (3, -8)  (-1, 4)  (5, 1)  (-4, -6)  (0, 13)  (9, -6)  (4, 2)  (-10, -3)  (-10, -1) 
Round 53 Worms: [], Food:  (3, -8)  (-1, 4)  (5, 1)  (-4, -6)  (0, 13)  (9, -6)  (4, 2)  (-10, -3)  (-10, -1)  (2, -8) 
Round 54 Worms: [], Food:  (-1, 4)  (5, 1)  (-4, -6)  (0, 13)  (9, -6)  (4, 2)  (-10, -3)  (-10, -1)  (2, -8)  (0, 0) 
Round 55 Worms: [], Food:  (5, 1)  (-4, -6)  (0, 13)  (9, -6)  (4, 2)  (-10, -3)  (-10, -1)  (2, -8)  (0, 0)  (0, 4) 
Round 56 Worms: [], Food:  (-4, -6)  (0, 13)  (9, -6)  (4, 2)  (-10, -3)  (-10, -1)  (2, -8)  (0, 0)  (0, 4)  (-5, 6) 
Round 57 Worms: [], Food:  (0, 13)  (9, -6)  (4, 2)  (-10, -3)  (-10, -1)  (2, -8)  (0, 0)  (0, 4)  (-5, 6)  (-2, 0) 
Round 58 Worms: [], Food:  (9, -6)  (4, 2)  (-10, -3)  (-10, -1)  (2, -8)  (0, 0)  (0, 4)  (-5, 6)  (-2, 0)  (1, -4) 
Round 59 Worms: [], Food:  (4, 2)  (-10, -3)  (-10, -1)  (2, -8)  (0, 0)  (0, 4)  (-5, 6)  (-2, 0)  (1, -4)  (2, -1) 
Round 60 Worms: [], Food:  (-10, -3)  (-10, -1)  (2, -8)  (0, 0)  (0, 4)  (-5, 6)  (-2, 0)  (1, -4)  (2, -1)  (1, 10) 
Round 61 Worms: [], Food:  (-10, -1)  (2, -8)  (0, 0)  (0, 4)  (-5, 6)  (-2, 0)  (1, -4)  (2, -1)  (1, 10)  (-3, 5) 
Round 62 Worms: [], Food:  (2, -8)  (0, 0)  (0, 4)  (-5, 6)  (-2, 0)  (1, -4)  (2, -1)  (1, 10)  (-3, 5)  (9, 4) 
Round 63 Worms: [], Food:  (0, 0)  (0, 4)  (-5, 6)  (-2, 0)  (1, -4)  (2, -1)  (1, 10)  (-3, 5)  (9, 4)  (1, 2) 
Round 64 Worms: [], Food:  (0, 4)  (-5, 6)  (-2, 0)  (1, -4)  (2, -1)  (1, 10)  (-3, 5)  (9, 4)  (1, 2)  (-6, 8) 
Round 65 Worms: [], Food:  (-5, 6)  (-2, 0)  (1, -4)  (2, -1)  (1, 10)  (-3, 5)  (9, 4)  (1, 2)  (-6, 8)  (5, 6) 
Round 66 Worms: [], Food:  (-2, 0)  (1, -4)  (2, -1)  (1, 10)  (-3, 5)  (9, 4)  (1, 2)  (-6, 8)  (5, 6)  (-1, 1) 
Round 67 Worms: [], Food:  (1, -4)  (2, -1)  (1, 10)  (-3, 5)  (9, 4)  (1, 2)  (-6, 8)  (5, 6)  (-1, 1)  (2, -2) 
Round 68 Worms: [], Food:  (2, -1)  (1, 10)  (-3, 5)  (9, 4)  (1, 2)  (-6, 8)  (5, 6)  (-1, 1)  (2, -2)  (0, -5) 
Round 69 Worms: [], Food:  (1, 10)  (-3, 5)  (9, 4)  (1, 2)  (-6, 8)  (5, 6)  (-1, 1)  (2, -2)  (0, -5)  (0, 5) 
Round 70 Worms: [], Food:  (-3, 5)  (9, 4)  (1, 2)  (-6, 8)  (5, 6)  (-1, 1)  (2, -2)  (0, -5)  (0, 5)  (-1, 11) 
Round 71 Worms: [], Food:  (9, 4)  (1, 2)  (-6, 8)  (5, 6)  (-1, 1)  (2, -2)  (0, -5)  (0, 5)  (-1, 11)  (-5, 1) 
Round 72 Worms: [], Food:  (1, 2)  (-6, 8)  (5, 6)  (-1, 1)  (2, -2)  (0, -5)  (0, 5)  (-1, 11)  (-5, 1)  (4, 5) 
Round 73 Worms: [], Food:  (-6, 8)  (5, 6)  (-1, 1)  (2, -2)  (0, -5)  (0, 5)  (-1, 11)  (-5, 1)  (4, 5)  (-2, -6) 
Round 74 Worms: [], Food:  (5, 6)  (-1, 1)  (2, -2)  (0, -5)  (0, 5)  (-1, 11)  (-5, 1)  (4, 5)  (-2, -6)  (-3, -4) 
Round 75 Worms: [], Food:  (-1, 1)  (2, -2)  (0, -5)  (0, 5)  (-1, 11)  (-5, 1)  (4, 5)  (-2, -6)  (-3, -4)  (-5, -9) 
Round 76 Worms: [], Food:  (2, -2)  (0, -5)  (0, 5)  (-1, 11)  (-5, 1)  (4, 5)  (-2, -6)  (-3, -4)  (-5, -9)  (-4, -5) 
Round 77 Worms: [], Food:  (0, -5)  (0, 5)  (-1, 11)  (-5, 1)  (4, 5)  (-2, -6)  (-3, -4)  (-5, -9)  (-4, -5)  (1, -1) 
Round 78 Worms: [], Food:  (0, 5)  (-1, 11)  (-5, 1)  (4, 5)  (-2, -6)  (-3, -4)  (-5, -9)  (-4, -5)  (1, -1)  (6, 1) 
Round 79 Worms: [], Food:  (-1, 11)  (-5, 1)  (4, 5)  (-2, -6)  (-3, -4)  (-5, -9)  (-4, -5)  (1, -1)  (6, 1)  (9, -2) 
Round 80 Worms: [], Food:  (-5, 1)  (4, 5)  (-2, -6)  (-3, -4)  (-5, -9)  (-4, -5)  (1, -1)  (6, 1)  (9, -2)  (-3, 3) 
Round 81 Worms: [], Food:  (4, 5)  (-2, -6)  (-3, -4)  (-5, -9)  (-4, -5)  (1, -1)  (6, 1)  (9, -2)  (-3, 3)  (1, -5) 
Round 82 Worms: [], Food:  (-2, -6)  (-3, -4)  (-5, -9)  (-4, -5)  (1, -1)  (6, 1)  (9, -2)  (-3, 3)  (1, -5)  (-10, 2) 
Round 83 Worms: [], Food:  (-3, -4)  (-5, -9)  (-4, -5)  (1, -1)  (6, 1)  (9, -2)  (-3, 3)  (1, -5)  (-10, 2)  (7, -1) 
Round 84 Worms: [], Food:  (-5, -9)  (-4, -5)  (1, -1)  (6, 1)  (9, -2)  (-3, 3)  (1, -5)  (-10, 2)  (7, -1)  (4, -5) 
Round 85 Worms: [], Food:  (-4, -5)  (1, -1)  (6, 1)  (9, -2)  (-3, 3)  (1, -5)  (-10, 2)  (7, -1)  (4, -5)  (-5, -6) 
Round 86 Worms: [], Food:  (1, -1)  (6, 1)  (9, -2)  (-3, 3)  (1, -5)  (-10, 2)  (7, -1)  (4, -5)  (-5, -6)  (-5, -3) 
Round 87 Worms: [], Food:  (6, 1)  (9, -2)  (-3, 3)  (1, -5)  (-10, 2)  (7, -1)  (4, -5)  (-5, -6)  (-5, -3)  (5, 4) 
Round 88 Worms: [], Food:  (9, -2)  (-3, 3)  (1, -5)  (-10, 2)  (7, -1)  (4, -5)  (-5, -6)  (-5, -3)  (5, 4)  (-4, -10) 
Round 89 Worms: [], Food:  (-3, 3)  (1, -5)  (-10, 2)  (7, -1)  (4, -5)  (-5, -6)  (-5, -3)  (5, 4)  (-4, -10)  (-2, -5) 
Round 90 Worms: [], Food:  (1, -5)  (-10, 2)  (7, -1)  (4, -5)  (-5, -6)  (-5, -3)  (5, 4)  (-4, -10)  (-2, -5)  (-2, -9) 
Round 91 Worms: [], Food:  (-10, 2)  (7, -1)  (4, -5)  (-5, -6)  (-5, -3)  (5, 4)  (-4, -10)  (-2, -5)  (-2, -9)  (-8, -6) 
Round 92 Worms: [], Food:  (7, -1)  (4, -5)  (-5, -6)  (-5, -3)  (5, 4)  (-4, -10)  (-2, -5)  (-2, -9)  (-8, -6)  (1, 4) 
Round 93 Worms: [], Food:  (4, -5)  (-5, -6)  (-5, -3)  (5, 4)  (-4, -10)  (-2, -5)  (-2, -9)  (-8, -6)  (1, 4)  (-1, 4) 
Round 94 Worms: [], Food:  (-5, -6)  (-5, -3)  (5, 4)  (-4, -10)  (-2, -5)  (-2, -9)  (-8, -6)  (1, 4)  (-1, 4)  (-1, -4) 
Round 95 Worms: [], Food:  (-5, -3)  (5, 4)  (-4, -10)  (-2, -5)  (-2, -9)  (-8, -6)  (1, 4)  (-1, 4)  (-1, -4)  (-10, 0) 
Round 96 Worms: [], Food:  (5, 4)  (-4, -10)  (-2, -5)  (-2, -9)  (-8, -6)  (1, 4)  (-1, 4)  (-1, -4)  (-10, 0)  (8, -9) 
Round 97 Worms: [], Food:  (-4, -10)  (-2, -5)  (-2, -9)  (-8, -6)  (1, 4)  (-1, 4)  (-1, -4)  (-10, 0)  (8, -9)  (4, -1) 
Round 98 Worms: [], Food:  (-2, -5)  (-2, -9)  (-8, -6)  (1, 4)  (-1, 4)  (-1, -4)  (-10, 0)  (8, -9)  (4, -1)  (0, 0) 
Round 99 Worms: [], Food:  (-2, -9)  (-8, -6)  (1, 4)  (-1, 4)  (-1, -4)  (-10, 0)  (8, -9)  (4, -1)  (0, 0)  (-4, -6) 
